Alabama,AL,9,2323282
Alaska,AK,3,359530
Arizona,AZ,11,3387326
Arkansas,AR,6,1219069
California,CA,55,17500881
Colorado,CO,9,3256952
Connecticut,CT,7,1824280
Delaware,DE,3,504010
District of Columbia,DC,3,344356
Florida,FL,29,11067456
Georgia,GA,16,4997716
Hawaii,HI,4,574469
Idaho,ID,4,868014
Illinois,IL,20,6033744
Indiana,IN,11,3033121
Iowa,IA,6,1690871
Kansas,KS,6,1372303
Kentucky,KY,8,2136768
Louisiana,LA,8,2148062
Maine,ME,4,819461
Maryland,MD,10,3037030
Massachusetts,MA,11,3631403
Michigan,MI,16,5539301
Minnesota,MN,10,3277171
Mississippi,MS,6,1313759
Missouri,MO,10,3025962
Montana,MT,3,603640
Nebraska,NE,5,951712
Nevada,NV,6,1405376
New Hampshire,NH,4,806205
New Jersey,NJ,14,4549353
New Mexico,NM,5,923965
New York,NY,29,8594826
North Carolina,NC,15,5524804
North Dakota,ND,3,361819
Ohio,OH,18,5922202
Oklahoma,OK,7,1560699
Oregon,OR,7,2374321
Pennsylvania,PA,20,6915283
Rhode Island,RI,4,517757
South Carolina,SC,9,2513329
South Dakota,SD,3,422609
Tennessee,TN,11,3053851
Texas,TX,38,11315056
Utah,UT,6,1488289
Vermont,VT,3,367428
Virginia,VA,13,4460524
Washington,WA,12,4087631
West Virginia,WV,5,794652
Wisconsin,WI,10,3298041
Wyoming,WY,3,276765
